state_fips,state_abbreviation,year,actual_compliance,predicted_compliance
20,KS,2022,5.139550714771953,5.432474803269002
20,KS,2023,4.677966101694913,5.644466626971209
20,KS,2024,7.2512647554806025,4.602821245667302
21,KY,2010,2.851885924563015,
21,KY,2011,2.3793182338137693,
21,KY,2012,1.2306289881494954,
21,KY,2013,1.179941002949852,
21,KY,2014,2.6035770885216185,
21,KY,2015,5.034996613230973,
21,KY,2016,5.157657657657653,
21,KY,2017,3.882405745062833,
21,KY,2018,2.8673835125447997,
21,KY,2019,1.0957066189624307,3.0016715620562984
21,KY,2020,0.9316770186335391,1.7602239093239387
21,KY,2021,0.8429458740017737,1.0075866712755102
21,KY,2022,0.81840300818403,0.9059074728368905
21,KY,2023,1.4065934065934047,0.8443555493680531
21,KY,2024,1.9633507853403107,1.0767464655796606
22,LA,2010,5.412541254125412,
22,LA,2011,7.145979020979014,
22,LA,2012,8.061712299000435,
22,LA,2013,6.636402939904872,
22,LA,2014,8.889367197589316,
22,LA,2015,10.092136275980279,
22,LA,2016,9.39970091860713,
22,LA,2017,11.210954214805298,
22,LA,2018,16.445111492281292,
22,LA,2019,19.83683984542722,15.958087535643331
22,LA,2020,13.929492691315556,19.334798525455817
22,LA,2021,16.591056383668167,13.166551834507963
22,LA,2022,15.82264725059769,15.263485570618588
22,LA,2023,15.50337029789084,17.87669821610477
22,LA,2024,18.158179848320685,14.096302248982814
23,ME,2010,23.41867469879518,
23,ME,2011,20.85843373493976,
23,ME,2012,16.716867469879517,
23,ME,2013,14.446952595936791,
23,ME,2014,12.096168294515396,
23,ME,2015,13.167795334838221,
23,ME,2016,5.705705705705703,
23,ME,2017,13.248502994011975,
23,ME,2018,8.731343283582081,
23,ME,2019,6.983655274888556,7.600530279952778
23,ME,2020,6.300366300366297,7.3130480000013005
23,ME,2021,8.121827411167512,7.372267671500518
23,ME,2022,7.47126436781609,8.777120531082536
23,ME,2023,11.76890156918687,6.784707633902572
23,ME,2024,10.085227272727266,8.073262578060504
24,MD,2010,5.510450855069942,
24,MD,2011,6.79794520547943,
24,MD,2012,6.929347826086952,
24,MD,2013,6.430379746835418,
24,MD,2014,5.40268456375837,
24,MD,2015,5.0592753381198685,
24,MD,2016,1.4316630597636089,
24,MD,2017,1.0783012607830125,
24,MD,2018,1.0758027143330022,
24,MD,2019,0.7101568951279915,1.2705896458896897
24,MD,2020,0.7122045969569432,0.9165633997894999
24,MD,2021,0.7124352331606193,0.7672092564823816
24,MD,2022,0.808668930939671,0.6123707956540173
24,MD,2023,0.596293311845286,0.7608206148830053
24,MD,2024,5.492393915132086,0.7145515750758833
25,MA,2010,4.568991775814793,
25,MA,2011,5.185969156335037,
25,MA,2012,5.072028811524594,
25,MA,2013,6.656738644825,
25,MA,2014,4.848484848484829,
25,MA,2015,3.4426953067529706,
25,MA,2016,1.1132268932181,
25,MA,2017,1.2092074592074555,
25,MA,2018,1.8297995933778637,
25,MA,2019,1.6533720087019579,1.5990008299712342
25,MA,2020,1.0737294201861103,1.604191923127475
25,MA,2021,1.057596112619689,1.3330874349327613
25,MA,2022,0.7686832740213504,1.0555972148191322
25,MA,2023,1.0038173335218417,0.9597295287976342
25,MA,2024,0.8684689732455493,1.0183720140455823
26,MI,2010,4.646689613282022,
26,MI,2011,3.8449863401800988,
26,MI,2012,3.455243483532005,
26,MI,2013,4.104891578416528,
26,MI,2014,3.906564639548913,
26,MI,2015,4.2581034829877185,
26,MI,2016,1.8384569017480341,
26,MI,2017,1.3932043700511088,
26,MI,2018,1.8223690798037302,
26,MI,2019,0.9614421632448672,1.2502316472055315
26,MI,2020,0.943208895949162,1.6561524856440273
26,MI,2021,1.1451902011551418,0.9743536034773926
26,MI,2022,1.2445240939864524,0.9101647939070365
26,MI,2023,1.0634068773603582,1.011680425996991
26,MI,2024,2.821782178217821,0.9904899517534919
27,MN,2010,5.799284503859894,
27,MN,2011,4.78773143818962,
27,MN,2012,4.74153960580141,
27,MN,2013,4.690674053554925,
27,MN,2014,5.3548505409865985,
27,MN,2015,4.759299781181609,
27,MN,2016,1.7013574660633468,
27,MN,2017,1.2749147064104842,
27,MN,2018,1.622392583348187,
27,MN,2019,1.8439716312056729,1.2211508289798942
27,MN,2020,1.4533356680091034,1.1047993945131918
27,MN,2021,1.5575778788939405,1.3223690328448203
27,MN,2022,2.1997206703910592,1.189668196176974
27,MN,2023,2.294455066921605,1.4817180804135948
27,MN,2024,2.5012937726410205,1.5238334915355218
28,MS,2010,4.274654998317064,
28,MS,2011,4.128902316213492,
28,MS,2012,6.465661641541036,
28,MS,2013,5.150501672240802,
28,MS,2014,3.576203208556148,
28,MS,2015,4.046822742474915,
28,MS,2016,2.7081243731193556,
28,MS,2017,0.8024072216649945,
28,MS,2018,1.5085484411666101,
28,MS,2019,2.1826729348556073,1.5190078536094749
28,MS,2020,2.3664638269100733,1.7987676867313818
28,MS,2021,2.7815468113975546,1.9483945796665016
28,MS,2022,2.2781366882012897,2.2860616387675905
28,MS,2023,1.4615907545887141,1.941235991169506
28,MS,2024,9.728813559322019,1.4840214878432771
29,MO,2010,12.875250166777837,
29,MO,2011,11.645316918981854,
29,MO,2012,10.189180219050764,
29,MO,2013,10.640410392189292,
29,MO,2014,9.82010232711667,
29,MO,2015,13.069958847736604,
29,MO,2016,7.7655557379740445,
29,MO,2017,5.661921125838641,
29,MO,2018,4.701273261508321,
29,MO,2019,4.511400651465792,4.75564890849069
29,MO,2020,4.224207961007306,4.614794647111243
29,MO,2021,3.9526972298720207,3.626169706586335
29,MO,2022,4.758051464638284,3.3105100484697774
29,MO,2023,3.9477924589107305,3.5049395447629266
29,MO,2024,5.39718129404227,3.3857313383407917
30,MT,2010,25.832492431886976,
30,MT,2011,39.77955911823647,
30,MT,2012,30.97609561752988,
30,MT,2013,26.923076923076916,
30,MT,2014,35.777126099706734,
30,MT,2015,35.40252182347235,
30,MT,2016,15.547024952015347,
30,MT,2017,11.005692599620488,
30,MT,2018,16.85499058380414,
30,MT,2019,15.233644859813081,12.347312928751691
30,MT,2020,12.419503219871205,12.16321563652216
30,MT,2021,9.041591320072332,12.245944137227454
30,MT,2022,15.32976827094474,12.177074216684218
30,MT,2023,11.847922192749776,11.895934782862398
30,MT,2024,14.499121265377854,10.385172172056203
31,NE,2010,24.699453551912566,
31,NE,2011,21.673003802281364,
31,NE,2012,15.911542610571725,
31,NE,2013,19.0246516613076,
31,NE,2014,19.521276595744673,
31,NE,2015,19.820295983086666,
31,NE,2016,8.027282266526754,
31,NE,2017,5.320813771517994,
31,NE,2018,3.582554517133955,
31,NE,2019,3.310915675116397,2.843124324043826
31,NE,2020,3.6678553234844617,2.701301608931442
31,NE,2021,4.3256997455470705,3.5226766522533604
31,NE,2022,4.460212873796249,3.908195564496443
31,NE,2023,4.225352112676054,4.016782871088784
31,NE,2024,4.785643070787633,3.648517738018306
32,NV,2010,6.291635825314577,
32,NV,2011,5.234058238112789,
32,NV,2012,4.590163934426226,
32,NV,2013,3.709038530788616,
32,NV,2014,3.937566512947854,
32,NV,2015,3.8340885325897487,
32,NV,2016,2.465753424657533,
32,NV,2017,3.9030955585464318,
32,NV,2018,4.8498845265588875,
32,NV,2019,3.6881268197994164,2.0879871946169084
32,NV,2020,3.015720243824189,2.8608684997246496
32,NV,2021,2.509529860228715,2.706087851057635
32,NV,2022,3.178099433606038,2.1941554171617086
32,NV,2023,3.6125817502335713,2.3557674002573297
32,NV,2024,4.824830977258755,2.241611169883124
33,NH,2010,24.981017463933178,
33,NH,2011,25.681818181818173,
33,NH,2012,24.981132075471688,
33,NH,2013,26.224566691785977,
33,NH,2014,22.263868065967,
33,NH,2015,9.27449513836948,
33,NH,2016,11.235119047619047,
33,NH,2017,14.592592592592585,
33,NH,2018,14.317343173431725,
33,NH,2019,14.180749448934598,10.259146287222755
33,NH,2020,9.499637418419145,8.547969483600113
33,NH,2021,7.204610951008641,9.296913368147486
33,NH,2022,6.871868289191119,8.751955725157005
33,NH,2023,10.77032810271041,8.000910861727153
33,NH,2024,8.871540099361242,9.699667670039508
34,NJ,2010,5.432435504034534,
34,NJ,2011,7.1922074980178845,
34,NJ,2012,5.143567714221089,
34,NJ,2013,4.718898171144721,
34,NJ,2014,3.5863313409270217,
34,NJ,2015,3.731679819616666,
34,NJ,2016,2.5129592066711655,
34,NJ,2017,2.936543654365428,
34,NJ,2018,3.654970760233911,
34,NJ,2019,3.2392306827128468,2.7414270565844103
34,NJ,2020,2.621359223300961,2.523803382701204
34,NJ,2021,3.291248516240406,1.9634949139468243
34,NJ,2022,2.677995267799525,2.224242777198903
34,NJ,2023,3.0122405534858743,2.561681130533087
34,NJ,2024,3.1769408794445475,2.008634490584418
35,NM,2010,20.096852300242123,
35,NM,2011,21.480057664584326,
35,NM,2012,23.323754789272026,
35,NM,2013,25.32250358337314,
35,NM,2014,31.29186602870813,
35,NM,2015,40.33492822966507,
35,NM,2016,32.871476349737215,
35,NM,2017,24.31915910176779,
35,NM,2018,21.585482330467997,
35,NM,2019,24.52380952380952,18.12912590201078
35,NM,2020,14.164305949008497,13.960895969627334
35,NM,2021,11.10061407652338,11.705919478425697
35,NM,2022,15.380974917179364,14.407393288958346
35,NM,2023,14.959886739027839,14.103749933887064
35,NM,2024,34.93182886694875,9.478969206835162
36,NY,2010,2.5309278350515347,
36,NY,2011,2.5743589743589634,
36,NY,2012,2.4266884642893487,
36,NY,2013,1.9871598899419045,
36,NY,2014,1.6231618582404699,
36,NY,2015,1.8059724271251953,
36,NY,2016,1.3546547158280589,
36,NY,2017,1.3473512299683517,
36,NY,2018,1.4889480147359733,
36,NY,2019,1.3101782870061074,1.175499293785144
36,NY,2020,0.9989066693171591,1.2373548761926494
36,NY,2021,1.1696496092765267,1.2036809215137518
36,NY,2022,0.8725206716379992,0.8844924234161096
36,NY,2023,0.7024814271996714,0.7837863455749761
36,NY,2024,1.0749462526873557,0.8562725369228598
37,NC,2010,5.7650130548302805,
37,NC,2011,4.9280463816129885,
37,NC,2012,4.501640689089409,
37,NC,2013,4.630852036153125,
37,NC,2014,4.0354231659454465,
37,NC,2015,3.29779814685662,
37,NC,2016,1.6827396181853966,
37,NC,2017,1.5764889061891727,
37,NC,2018,1.2703300933500143,
37,NC,2019,1.095133796781259,1.2089238261274464
37,NC,2020,0.7655502392344482,0.9729475476779874
37,NC,2021,0.8423244368729865,0.7996814720197009
37,NC,2022,0.9433962264150915,0.7115247799069859
37,NC,2023,0.9381898454746116,0.8595564508082854
37,NC,2024,4.6416938110749175,0.8862743166153739
38,ND,2010,6.518518518518518,
38,ND,2011,8.60058309037901,
38,ND,2012,4.843304843304842,
38,ND,2013,5.532503457814661,
38,ND,2014,7.307171853856562,
38,ND,2015,5.158730158730157,
38,ND,2016,1.9841269841269835,
